|id |room|username     |message                              |timestamp          |type  |url                                              |filename                                                                                   |color  |
|---|----|-------------|-------------------------------------|-------------------|------|-------------------------------------------------|-------------------------------------------------------------------------------------------|-------|
|1  |구글  |system       |무야호님이 입장했습니다.                        |2025-09-26 02:04:24|system|                                                 |                                                                                           |       |
|2  |구글  |system       |네밋님이 입장했습니다.                         |2025-09-26 02:06:32|system|                                                 |                                                                                           |       |
|3  |구글  |system       |네밋님이 나갔습니다.                          |2025-09-26 02:06:34|system|                                                 |                                                                                           |       |
|4  |구글  |system       |네밋님이 입장했습니다.                         |2025-09-26 02:06:34|system|                                                 |                                                                                           |       |
|5  |구글  |system       |네밋님이 나갔습니다.                          |2025-09-26 02:06:34|system|                                                 |                                                                                           |       |
|6  |구글  |system       |네밋님이 입장했습니다.                         |2025-09-26 02:06:34|system|                                                 |                                                                                           |       |
|7  |구글  |네밋           |.                                    |2025-09-26 02:06:36|chat  |                                                 |                                                                                           |#0d0f11|
|8  |구글  |네밋           |좋다                                   |2025-09-26 02:06:38|chat  |                                                 |                                                                                           |#0d0f11|
|9  |구글  |system       |1234님이 입장했습니다.                       |2025-09-26 02:06:57|system|                                                 |                                                                                           |       |
|10 |구글  |system       |1234님이 나갔습니다.                        |2025-09-26 02:06:58|system|                                                 |                                                                                           |       |
|11 |구글  |system       |1234님이 입장했습니다.                       |2025-09-26 02:06:58|system|                                                 |                                                                                           |       |
|12 |구글  |무야호          |근대                                   |2025-09-26 02:07:10|chat  |                                                 |                                                                                           |#bd0000|
|13 |구글  |무야호          |대충                                   |2025-09-26 02:07:11|chat  |                                                 |                                                                                           |#bd0000|
|14 |구글  |system       |데이터표준계약검증에이전트님이 입장했습니다.              |2025-09-26 02:07:16|system|                                                 |                                                                                           |       |
|15 |구글  |무야호          |요약하면                                 |2025-09-26 02:07:17|chat  |                                                 |                                                                                           |#bd0000|
|16 |구글  |무야호          |퇴근하고싶다~ 점심뭐먹죠                        |2025-09-26 02:07:21|chat  |                                                 |                                                                                           |#bd0000|
|17 |구글  |무야호          |같은거 뽑아줄듯                             |2025-09-26 02:07:25|chat  |                                                 |                                                                                           |#bd0000|
|18 |구글  |데이터표준계약검증에이전트|아                                    |2025-09-26 02:07:25|chat  |                                                 |                                                                                           |#1a73e8|
|19 |구글  |무야호          |ㅋㅋ                                   |2025-09-26 02:07:26|chat  |                                                 |                                                                                           |#bd0000|
|20 |구글  |네밋           |오점모                                  |2025-09-26 02:07:28|chat  |                                                 |                                                                                           |#0d0f11|
|21 |구글  |무야호          |                                     |2025-09-26 02:07:36|file  |/uploads/구글/192ab970cc0443068a0d09fba002d2c6.png |floor_plan_7.png                                                                           |#1a73e8|
|22 |구글  |무야호          |사진                                   |2025-09-26 02:07:38|chat  |                                                 |                                                                                           |#bd0000|
|23 |구글  |무야호          |제대로보이나요?                             |2025-09-26 02:07:40|chat  |                                                 |                                                                                           |#bd0000|
|24 |구글  |무야호          |이제?                                  |2025-09-26 02:07:40|chat  |                                                 |                                                                                           |#bd0000|
|25 |구글  |네밋           |보이네요                                 |2025-09-26 02:07:43|chat  |                                                 |                                                                                           |#0d0f11|
|26 |구글  |1234         |오?                                   |2025-09-26 02:07:44|chat  |                                                 |                                                                                           |#1a73e8|
|27 |구글  |무야호          |굳                                    |2025-09-26 02:07:46|chat  |                                                 |                                                                                           |#bd0000|
|28 |구글  |1234         |개열받는 고양이도                            |2025-09-26 02:07:48|chat  |                                                 |                                                                                           |#1a73e8|
|29 |구글  |1234         |올려주세요                                |2025-09-26 02:07:51|chat  |                                                 |                                                                                           |#1a73e8|
|30 |구글  |네밋           |                                     |2025-09-26 02:07:54|file  |/uploads/구글/d69f7a889d254ed48d0a604d7d8ced16.webp|Cn2IV46Df_L8Wlm4OVMrntucg_Ja72N_nLZb71SAqO_ge81r_8oo03W8Goasd5_xPTsb6ICIJifGTgi0P8YzVQ.webp|#1a73e8|
|31 |구글  |1234         |ㅋㅋ ;                                 |2025-09-26 02:07:59|chat  |                                                 |                                                                                           |#1a73e8|
|32 |구글  |무야호          |좋소냥이                                 |2025-09-26 02:08:00|chat  |                                                 |                                                                                           |#bd0000|
|33 |구글  |무야호          |ㅋㅋ                                   |2025-09-26 02:08:02|chat  |                                                 |                                                                                           |#bd0000|
|34 |구글  |네밋           |                                     |2025-09-26 02:08:05|file  |/uploads/구글/3248cb0d753a46b39591421135f536d1.png |GvZNuKrbUAA0GeJ.png                                                                        |#1a73e8|
|35 |구글  |무야호          |컨 c 컨 v 로는                           |2025-09-26 02:08:26|chat  |                                                 |                                                                                           |#bd0000|
|36 |구글  |무야호          |못올리죠 사진?                             |2025-09-26 02:08:28|chat  |                                                 |                                                                                           |#bd0000|
|37 |구글  |무야호          |가지고있는거만 가능하죠?                        |2025-09-26 02:08:34|chat  |                                                 |                                                                                           |#bd0000|
|38 |구글  |네밋           |그거 안되는거같아요                           |2025-09-26 02:08:34|chat  |                                                 |                                                                                           |#0d0f11|
|39 |구글  |무야호          |ㅇㅇ                                   |2025-09-26 02:08:37|chat  |                                                 |                                                                                           |#bd0000|
|40 |구글  |네밋           |그냥 올리는게                              |2025-09-26 02:08:37|chat  |                                                 |                                                                                           |#0d0f11|
|41 |구글  |무야호          |아니면                                  |2025-09-26 02:08:41|chat  |                                                 |                                                                                           |#bd0000|
|42 |구글  |무야호          |드래그앤드롭도                              |2025-09-26 02:08:43|chat  |                                                 |                                                                                           |#bd0000|
|43 |구글  |무야호          |기능추가할까                               |2025-09-26 02:08:44|chat  |                                                 |                                                                                           |#bd0000|
|44 |구글  |무야호          |우리 레시피고할떄는                           |2025-09-26 02:08:49|chat  |                                                 |                                                                                           |#bd0000|
|45 |구글  |무야호          |드래그앤드롭도 해놨었는데                        |2025-09-26 02:08:55|chat  |                                                 |                                                                                           |#bd0000|
|46 |구글  |무야호          |그건리액트긴함근대 ㅇㅇ;                        |2025-09-26 02:09:00|chat  |                                                 |                                                                                           |#bd0000|
|47 |구글  |네밋           |이것도 되긴 할꺼에요                          |2025-09-26 02:09:08|chat  |                                                 |                                                                                           |#0d0f11|
|48 |구글  |네밋           |아마도                                  |2025-09-26 02:09:10|chat  |                                                 |                                                                                           |#0d0f11|
|49 |구글  |무야호          |maybe                                |2025-09-26 02:09:13|chat  |                                                 |                                                                                           |#bd0000|
|50 |구글  |네밋           |@네밋                                  |2025-09-26 02:10:31|chat  |                                                 |                                                                                           |#0d0f11|
|51 |구글  |네밋           |@무야호                                 |2025-09-26 02:10:33|chat  |                                                 |                                                                                           |#0d0f11|
|52 |구글  |네밋           |잉 뭐야 이건 안되있네                         |2025-09-26 02:10:37|chat  |                                                 |                                                                                           |#0d0f11|
|53 |구글  |네밋           |https 안쓰면 아예 알람등록 자체가 안되나보네          |2025-09-26 02:10:52|chat  |                                                 |                                                                                           |#0d0f11|
|54 |구글  |1234         |대체 준영님은 저런짤들 어디서                     |2025-09-26 02:11:18|chat  |                                                 |                                                                                           |#1a73e8|
|55 |구글  |무야호          |핑까비                                  |2025-09-26 02:11:20|chat  |                                                 |                                                                                           |#bd0000|
|56 |구글  |1234         |가져오시는거에요                             |2025-09-26 02:11:20|chat  |                                                 |                                                                                           |#1a73e8|
|57 |구글  |무야호          |님들 근대                                |2025-09-26 02:11:25|chat  |                                                 |                                                                                           |#bd0000|
|58 |구글  |무야호          |우리 ktop                              |2025-09-26 02:11:28|chat  |                                                 |                                                                                           |#bd0000|
|59 |구글  |무야호          |프사                                   |2025-09-26 02:11:31|chat  |                                                 |                                                                                           |#bd0000|
|60 |구글  |무야호          |바꿔야대는거아님?                            |2025-09-26 02:11:33|chat  |                                                 |                                                                                           |#bd0000|
|61 |구글  |무야호          |안바꺼도대나                               |2025-09-26 02:11:35|chat  |                                                 |                                                                                           |#bd0000|
|62 |구글  |네밋           |                                     |2025-09-26 02:11:44|file  |/uploads/구글/fb45043c22154d10b08e5428837aaa77.png |G02RAqwaUAEr9J2.png                                                                        |#1a73e8|
|63 |구글  |네밋           |그냥 놔두죠                               |2025-09-26 02:11:49|chat  |                                                 |                                                                                           |#0d0f11|
|64 |구글  |무야호          |                                     |2025-09-26 02:13:39|file  |/uploads/구글/0b81592b6e8a4eecbde9f8ebb15bbe78.png |스크린샷 2025-09-26 111304.png                                                                 |#1a73e8|
|65 |구글  |무야호          |코디센스어떄요                              |2025-09-26 02:14:02|chat  |                                                 |                                                                                           |#bd0000|
|66 |구글  |1234         |;;;//                                |2025-09-26 02:14:07|chat  |                                                 |                                                                                           |#1a73e8|
|67 |구글  |네밋           |아스트랄하네요                              |2025-09-26 02:14:43|chat  |                                                 |                                                                                           |#0d0f11|
|68 |구글  |네밋           |메이플이에요?                              |2025-09-26 02:14:49|chat  |                                                 |                                                                                           |#0d0f11|
|69 |구글  |무야호          |형우띠꺼임                                |2025-09-26 02:14:49|chat  |                                                 |                                                                                           |#bd0000|
|70 |구글  |무야호          |저는쫌                                  |2025-09-26 02:15:06|chat  |                                                 |                                                                                           |#bd0000|
|71 |구글  |무야호          |카와이한편                                |2025-09-26 02:15:07|chat  |                                                 |                                                                                           |#bd0000|
|72 |구글  |무야호          |                                     |2025-09-26 02:15:45|file  |/uploads/구글/badde895abbe496b85e6f68f23b45373.png |스크린샷 2025-09-26 111533.png                                                                 |#1a73e8|
|73 |구글  |네밋           |오우                                   |2025-09-26 02:18:56|chat  |                                                 |                                                                                           |#0d0f11|
|74 |구글  |무야호          |준영님                                  |2025-09-26 02:20:52|chat  |                                                 |                                                                                           |#bd0000|
|75 |구글  |네밋           |네                                    |2025-09-26 02:21:33|chat  |                                                 |                                                                                           |#0d0f11|
|76 |구글  |무야호          |근대                                   |2025-09-26 02:21:55|chat  |                                                 |                                                                                           |#bd0000|
|77 |구글  |무야호          |오래된 게임같은거있잖아요                        |2025-09-26 02:21:58|chat  |                                                 |                                                                                           |#bd0000|
|78 |구글  |무야호          |쯔꾸르나                                 |2025-09-26 02:22:01|chat  |                                                 |                                                                                           |#bd0000|
|79 |구글  |무야호          |좀 도트게임들은                             |2025-09-26 02:22:03|chat  |                                                 |                                                                                           |#bd0000|
|80 |구글  |네밋           |레트로게임같은거요?                           |2025-09-26 02:22:03|chat  |                                                 |                                                                                           |#0d0f11|
|81 |구글  |무야호          |ㅇㅇ                                   |2025-09-26 02:22:04|chat  |                                                 |                                                                                           |#bd0000|
|82 |구글  |무야호          |만들만하지안나                              |2025-09-26 02:22:07|chat  |                                                 |                                                                                           |#bd0000|
|83 |구글  |무야호          |간단하게                                 |2025-09-26 02:22:08|chat  |                                                 |                                                                                           |#bd0000|
|84 |구글  |무야호          |gpt정도면                               |2025-09-26 02:22:12|chat  |                                                 |                                                                                           |#bd0000|
|85 |구글  |네밋           |pygame으로 만들수 이써요                     |2025-09-26 02:22:14|chat  |                                                 |                                                                                           |#0d0f11|
|86 |구글  |무야호          |오                                    |2025-09-26 02:22:17|chat  |                                                 |                                                                                           |#bd0000|
|87 |구글  |무야호          |포켓몬 레드나                              |2025-09-26 02:22:21|chat  |                                                 |                                                                                           |#bd0000|
|88 |구글  |무야호          |골드 이런거                               |2025-09-26 02:22:24|chat  |                                                 |                                                                                           |#bd0000|
|89 |구글  |네밋           |https://www.pygame.org/tags/all      |2025-09-26 02:22:27|chat  |                                                 |                                                                                           |#0d0f11|
|90 |구글  |무야호          |만들어달라하면만들어줄거같은데                      |2025-09-26 02:22:29|chat  |                                                 |                                                                                           |#bd0000|
|91 |구글  |네밋           |그런건 분기점이랑 리소스가 없어서 못만들죠              |2025-09-26 02:22:38|chat  |                                                 |                                                                                           |#0d0f11|
|92 |구글  |네밋           |                                     |2025-09-26 02:22:58|file  |/uploads/구글/73bd0b7a48584de0939ef6ae0d812ccf.jpg |Gz-fW2MbAAAgOkI.jpg                                                                        |#1a73e8|
|93 |구글  |무야호          |까비                                   |2025-09-26 02:23:40|chat  |                                                 |                                                                                           |#bd0000|
|94 |구글  |무야호          |마리오는                                 |2025-09-26 02:23:41|chat  |                                                 |                                                                                           |#bd0000|
|95 |구글  |무야호          |가능:?                                 |2025-09-26 02:23:42|chat  |                                                 |                                                                                           |#bd0000|
|96 |구글  |네밋           |음 싱글스테이지면 리소스만 있으면 아마?               |2025-09-26 02:23:57|chat  |                                                 |                                                                                           |#0d0f11|
|97 |구글  |네밋           |이거 codex나 cursor같은거 말고               |2025-09-26 02:24:08|chat  |                                                 |                                                                                           |#0d0f11|
|98 |구글  |네밋           |챗지피티 agent mode 켜서                   |2025-09-26 02:24:12|chat  |                                                 |                                                                                           |#0d0f11|
|99 |구글  |네밋           |그걸로 한번 시켜봐요                          |2025-09-26 02:24:14|chat  |                                                 |                                                                                           |#0d0f11|
|100|구글  |무야호          |음                                    |2025-09-26 02:24:22|chat  |                                                 |                                                                                           |#bd0000|
|101|구글  |무야호          |담주에                                  |2025-09-26 02:24:24|chat  |                                                 |                                                                                           |#bd0000|
|102|구글  |무야호          |해봐야겠다                                |2025-09-26 02:24:26|chat  |                                                 |                                                                                           |#bd0000|
